#Bandwidth	Vehicle Utilization	Number Initial Setup Jobs		Job Rate	Job Processing Time		Cars Arrived	Cars Departed	Jobs Completed	Jobs Failed	Jobs Total	VM Migrations Successful	VM Migrations Failed	VM Migrations Total	Avg Job Completion Time	MTTF	avg success VM Migration Time	avg jobs in initial setup	avg jobs in parking lot	avg jobs in job queue	avg cars in parking lot	Time Processing	Time Initializing	Time Backup	Time Finalization	Time VM
7500	80	100	30	0.05	60	Results	100789	53864.6	15595.6	0	15595.6	0	0	0	245.7058	0	0	100.969	386.5934	92832.12	2558.556	60	62.7852	59.35332	63.56732	0
7500	80	100	30	0.05	90	Results	100789	53864.6	15367.4	0	15367.4	0	0	0	282.0358	0	0	100.969	437.9646	92899.72	2558.556	90	63.5045	64.04548	64.48582	0
7500	80	100	30	0.05	120	Results	100789	53864.6	15101.2	0	15101.2	0	0	0	318.694	0	0	100.969	486.7204	92994.26	2558.556	120	64.4378	68.7007	65.5556	0
7500	80	100	30	0.05	150	Results	100789	53864.6	14912	0	14912	0	0	0	353.8736	0	0	100.969	534.561	93050.08	2558.556	150	65.02092	72.66864	66.18388	0
7500	80	100	30	0.05	180	Results	100789	53864.6	14710.6	0.6	14711.2	0	0	0	388.6738	271.2	0	100.969	580.2654	93107.32	2558.556	180.0074	65.65484	76.06122	66.95054	0
7500	80	100	30	0.05	210	Results	100789	53864.6	14545.6	5	14550.6	0.4	0	0.4	422.1446	1184.064	0.6	100.969	623.787	93164.8	2558.556	210.1062	66.23576	78.27412	67.32366	4.10593E-05
7500	80	100	30	0.05	240	Results	100789	53864.6	14392.4	32.6	14425	8	0	8	457.6866	994.2932	1.703334	100.969	669.2716	93210.54	2558.556	240.763	66.76874	81.2279	67.88182	0.000778526
7500	80	100	30	0.05	270	Results	100789	53864.6	14250.8	84	14334.8	18.4	0	18.4	492.7812	886.1648	0.7097706	100.969	712.4992	93275.5	2558.556	272.1892	67.27204	83.43148	67.87512	0.00087154
7500	80	100	30	0.05	300	Results	100789	53864.6	14106.8	151.2	14258	79.4	0	79.4	532.1496	896.7494	0.25937564	100.969	760.2266	93333.44	2558.556	304.777	67.78948	87.20998	68.69578	0.001177322


7500	80	100	30	0.1	60	Results	100789	53864.6	15576.8	0	15576.8	0	0	0	245.7324	0	0	100.945	386.157	42360.34	2558.556	60	62.87114	59.43144	63.42978	0
7500	80	100	30	0.1	90	Results	100789	53864.6	15342.8	0	15342.8	0	0	0	281.9372	0	0	100.945	437.0596	42425.1	2558.556	90	63.60006	63.90738	64.42978	0
7500	80	100	30	0.1	120	Results	100789	53864.6	15123	0	15123	0	0	0	318.152	0	0	100.945	486.9094	42494.5	2558.556	120	64.27524	68.68434	65.19264	0
7500	80	100	30	0.1	150	Results	100789	53864.6	14865.2	0	14865.2	0	0	0	354.3986	0	0	100.945	534.0314	42603.36	2558.556	150	65.17244	72.97894	66.24732	0
7500	80	100	30	0.1	180	Results	100789	53864.6	14733.2	0.8	14734	0	0	0	388.004	231.7	0	100.945	579.7334	42620.56	2558.556	180.0148	65.58788	75.83574	66.53046	0
7500	80	100	30	0.1	210	Results	100789	53864.6	14580.8	2.6	14583.4	0.4	0	0.4	421.8656	801.016	0.8	100.945	624.6662	42664.66	2558.556	210.0542	66.06326	78.60802	67.04668	0.000054894
7500	80	100	30	0.1	240	Results	100789	53864.6	14456.6	29.4	14486	5.6	0	5.6	456.5472	942.1698	1.0977794	100.945	670.1846	42693.88	2558.556	240.6814	66.45646	81.01866	67.5813	0.000553384
7500	80	100	30	0.1	270	Results	100789	53864.6	14235.4	85.2	14320.6	18.8	0	18.8	494.1492	901.0128	0.9408196	100.945	713.8994	42789.56	2558.556	272.2474	67.34016	84.0328	68.3655	0.000983267
7500	80	100	30	0.1	300	Results	100789	53864.6	14117.8	143.8	14261.6	82.2	0.4	82.6	531.144	919.2334	0.2524988	100.945	760.079	42845.46	2558.556	304.5268	67.74348	86.4114	68.83596	0.001262196


7500	80	100	30	0.15	60	Results	100789	53864.6	15613.6	0	15613.6	0	0	0	245.1762	0	0	100.906	386.188	25573.42	2558.556	60	62.67824	59.05776	63.44046	0
7500	80	100	30	0.15	90	Results	100789	53864.6	15378.8	0	15378.8	0	0	0	281.8298	0	0	100.906	438.0948	25649.68	2558.556	90	63.3832	64.0232	64.42332	0
7500	80	100	30	0.15	120	Results	100789	53864.6	15116.8	0	15116.8	0	0	0	317.569	0	0	100.906	485.7734	25742.74	2558.556	120	64.29434	68.08272	65.19208	0
7500	80	100	30	0.15	150	Results	100789	53864.6	14904.8	0	14904.8	0	0	0	352.8048	0	0	100.906	532.8408	25805.2	2558.556	150	65.00586	71.96094	65.83774	0
7500	80	100	30	0.15	180	Results	100789	53864.6	14731.4	0	14731.4	0	0	0	387.659	0	0	100.906	579.5086	25851.46	2558.556	180	65.53404	75.47932	66.64546	0
7500	80	100	30	0.15	210	Results	100789	53864.6	14550.4	2.8	14553.2	0.6	0	0.6	422.3686	593.548	0.3	100.906	624.1452	25926.86	2558.556	210.0602	66.22096	78.4612	67.51292	4.11692E-05
7500	80	100	30	0.15	240	Results	100789	53864.6	14412	20	14432	4.4	0	4.4	456.5676	942.6376	1.383334	100.906	668.952	25955.58	2558.556	240.4674	66.62886	80.9108	68.0065	0.000416482
7500	80	100	30	0.15	270	Results	100789	53864.6	14300	77	14377	12.2	0	12.2	493.0852	924.1534	0.9821512	100.906	715.8296	26003.56	2558.556	271.9872	67.0105	83.92642	68.131	0.000839176
7500	80	100	30	0.15	300	Results	100789	53864.6	14081	149.6	14230.6	56.4	0	56.4	531.8566	906.2478	0.2644594	100.906	759.0142	26095.68	2558.556	304.6302	67.86642	86.80304	68.86684	0.001064667


7500	80	100	30	0.2	60	Results	100789	53864.6	15575.2	0	15575.2	0	0	0	245.321	0	0	100.8124	385.5758	17176.52	2558.556	60	62.76816	59.13156	63.42124	0
7500	80	100	30	0.2	90	Results	100789	53864.6	15325.8	0	15325.8	0	0	0	281.6456	0	0	100.7918	436.16	17260.52	2558.556	90	63.5689	63.7457	64.33092	0
7500	80	100	30	0.2	120	Results	100789	53864.6	15098	0	15098	0	0	0	317.5006	0	0	100.7796	484.9286	17334.16	2558.556	120	64.28	67.90458	65.3164	0
7500	80	100	30	0.2	150	Results	100789	53864.6	14870.6	0	14870.6	0	0	0	353.176	0	0	100.7622	532.218	17413.68	2558.556	150	65.0475	72.10896	66.01966	0
7500	80	100	30	0.2	180	Results	100789	53864.6	14704.4	0	14704.4	0	0	0	386.469	0	0	100.7536	576.7096	17459.34	2558.556	180	65.53224	74.38062	66.55606	0
7500	80	100	30	0.2	210	Results	100789	53864.6	14544.4	1.8	14546.2	0.2	0	0.2	421.6326	920.1	0.2	100.75	622.6496	17503.6	2558.556	210.0388	66.12482	78.33266	67.06288	1.37523E-05
7500	80	100	30	0.2	240	Results	100789	53864.6	14394.8	14	14408.8	3.2	0	3.2	455.031	1031.917	1.166666	100.7436	665.9488	17553.06	2558.556	240.3362	66.60382	79.97912	67.69726	0.000291257
7500	80	100	30	0.2	270	Results	100789	53864.6	14278.4	58.4	14336.8	10.6	0	10.6	490.875	997.9698	1.2595964	100.7306	712.704	17582.44	2558.556	271.496	66.93992	82.87832	67.89678	0.000784684
7500	80	100	30	0.2	300	Results	100789	53864.6	14111.6	122.2	14233.8	47	0	47	527.5548	920.5974	0.6537966	100.7246	755.6466	17653.7	2558.556	303.7566	67.6125	84.6492	68.45296	0.001686766


7500	80	100	30	0.25	60	Results	100789	53864.6	15569.6	0	15569.6	0	0	0	245.3316	0	0	100.7108	385.466	12125.92	2558.556	60	62.71994	59.21862	63.39304	0
7500	80	100	30	0.25	90	Results	100789	53864.6	15322.8	0	15322.8	0	0	0	281.9048	0	0	100.649	436.4008	12201.1	2558.556	90	63.49258	63.85884	64.55332	0
7500	80	100	30	0.25	120	Results	100789	53864.6	15044	0	15044	0	0	0	317.6392	0	0	100.5998	483.7916	12303.34	2558.556	120	64.35032	67.88646	65.40268	0
7500	80	100	30	0.25	150	Results	100789	53864.6	14862.6	0	14862.6	0	0	0	352.5044	0	0	100.5294	530.796	12360.92	2558.556	150	64.96094	71.6082	65.93522	0
7500	80	100	30	0.25	180	Results	100789	53864.6	14653.4	0	14653.4	0	0	0	386.3996	0	0	100.465	574.3526	12440.06	2558.556	180	65.61914	74.42016	66.36034	0
7500	80	100	30	0.25	210	Results	100789	53864.6	14509.4	1.2	14510.6	0	0	0	420.049	203.766	0	100.4282	618.9612	12470.52	2558.556	210.026	66.05962	76.86542	67.06466	0
7500	80	100	30	0.25	240	Results	100789	53864.6	14366.8	2.8	14369.6	0.4	0	0.4	452.8744	562.988	0.3	100.3916	661.8994	12509.3	2558.556	240.0694	66.47966	78.91204	67.3337	4.18818E-05
7500	80	100	30	0.25	270	Results	100789	53864.6	14231.2	12.8	14244	2.4	0	2.4	485.998	965.3066	1.0499994	100.3164	704.7652	12540.98	2558.556	270.339	66.78246	80.9342	67.60842	0.000210643
